Investigation.Type,Accident.Number,Event.Date,Location,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Day_Of_Week,State_Code,new_lats,new_longs,Year,Month,Large_Jets,Small_Jets,Major_Injuries
Accident,WPR16LA155,2016-08-02,"Spanish Fork, UT",004016N,1112858W,,,Non-Fatal,Substantial,Textron,C 99,No,2.0,Turbo Prop,135,Unknown,AMERIFLIGHT INC,0.0,0.0,0.0,1.0,VMC,Tuesday,UT,0.6711111111111111,-111.48277777777778,2016.0,8.0,Other,Textron,0.0
Accident,WPR16FA157,2016-08-02,"Van Nuys, CA",341153N,0118297W,VNY,VAN NUYS,Fatal,Substantial,Arion,LIGHTNING LS-1,No,1.0,Reciprocating,091,Personal,Unknown,1.0,0.0,0.0,0.0,VMC,Tuesday,CA,34.198055555555555,-12.393611111111111,2016.0,8.0,Other,Other,1.0
Accident,GAA16CA414,2016-08-02,"New Albany, MS",343254N,0089128W,M72,NEW ALBANY-UNION CO,Non-Fatal,Substantial,Textron,150,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Tuesday,MS,34.54833333333333,-9.524444444444443,2016.0,8.0,Other,Textron,0.0
Accident,GAA16CA419,2016-08-02,"Lewiston, MT",004771N,1092235W,MT65,SMITHFIELD,Non-Fatal,Substantial,Textron,172,No,1.0,Reciprocating,091,Personal,WHEELS DOWN LLC,0.0,0.0,0.0,1.0,VMC,Tuesday,MT,0.8030555555555555,-109.37638888888888,2016.0,8.0,Other,Textron,0.0
Accident,CEN16LA309,2016-08-02,"Neenah, WI",044134N,0883258W,,,Non-Fatal,Substantial,Textron,172K,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,3.0,VMC,Tuesday,WI,4.692777777777778,-88.54944444444445,2016.0,8.0,Other,Textron,0.0
Accident,GAA16CA421,2016-08-02,"Oak Island, NC",335557N,0078418W,SUT,CAPE FEAR RGNL JETPORT/HOWIE F,Non-Fatal,Substantial,Textron,172,No,1.0,Reciprocating,091,Personal,Brunswick Air Inc.,0.0,0.0,0.0,1.0,VMC,Tuesday,NC,33.9325,-8.405000000000001,2016.0,8.0,Other,Textron,0.0
Accident,GAA16CA412,2016-08-03,"Belen, NM",034393N,1064937W,E80,ALEXANDER MUNI,Non-Fatal,Substantial,Textron,120,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Wednesday,NM,3.7425,-106.82694444444444,2016.0,8.0,Other,Textron,0.0
Accident,WPR16FA158,2016-08-03,"Flagstaff, AZ",035623N,1114327W,FLG,Flagstaff Pulliam,Fatal,Destroyed,Piper,PA 34-200T,No,2.0,Reciprocating,091,Personal,Unknown,1.0,0.0,0.0,0.0,VMC,Wednesday,AZ,3.9397222222222226,-111.72416666666666,2016.0,8.0,Other,Other,1.0
Accident,GAA16CA413,2016-08-03,"Cross Keys, NJ",401755N,0743119W,17N,CROSS KEYS,Non-Fatal,Substantial,Textron,172,No,1.0,Reciprocating,091,Personal,Unknown,0.0,1.0,0.0,0.0,VMC,Wednesday,NJ,40.29861111111111,-74.52194444444444,2016.0,8.0,Other,Textron,1.0
Accident,ANC16CA050,2016-08-03,"North Pole, AK",644534N,1472332W,95Z,BRADLEY SKY-RANCH,Non-Fatal,Substantial,Holley Carol L,ANTARES,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Wednesday,AK,64.75944444444444,-147.39222222222222,2016.0,8.0,Other,Other,0.0
Accident,ERA16FA279,2016-08-03,"Destin, FL",302226N,0862815W,DTS,Destin Executive,Fatal,Destroyed,Textron,414,No,2.0,Reciprocating,091,Personal,Unknown,1.0,0.0,0.0,0.0,VMC,Wednesday,FL,30.37388888888889,-86.47083333333333,2016.0,8.0,Other,Textron,1.0
Accident,GAA16CA417,2016-08-04,"Everett, WA",047549N,1221659W,PAE,SNOHOMISH COUNTY (PAINE FLD),Non-Fatal,Substantial,Textron,172,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Thursday,WA,5.2636111111111115,-122.28305555555555,2016.0,8.0,Other,Textron,0.0
Accident,GAA16CA423,2016-08-04,"Bivalve, MD",381759N,0755314W,,Private Landing Field,Non-Fatal,Substantial,Textron,F33,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,2.0,VMC,Thursday,MD,38.29972222222222,-75.88722222222223,2016.0,8.0,Other,Textron,0.0
